Title,ID,title,overview,release_date,runtime,budget,revenue,genres,production_companies,production_countries,spoken_languages,tagline,rating,votes
Miracles from Heaven,339984,Miracles from Heaven,"When Christy discovers her 10-year-old daughter Anna has a rare, incurable disease, she becomes a ferocious advocate for her daughter’s healing as she searches for a solution. After Anna has a freak accident and falls three stories, a miracle unfolds in the wake of her dramatic rescue that leaves medical specialists mystified, her family restored and their community inspired.",2016-03-17,119,16000000,73983359,"['Family', 'Drama']","['Columbia Pictures', 'Affirm Films', 'Roth Films', 'Franklin Entertainment', 'Sony Pictures']",['United States of America'],['English'],How do we explain the impossible?,7.447,1072
The Muppets,64328,The Muppets,"When Kermit the Frog and the Muppets learn that their beloved theater is slated for demolition, a sympathetic human, Gary, and his puppet brother, Walter, swoop in to help the gang put on a show and raise the $10 million they need to save the day.",2011-11-22,103,45000000,165184237,"['Comedy', 'Music']","['Walt Disney Pictures', 'The Muppets Studio']",['United States of America'],['English'],One girl has his dream.,6.651,1382
The Lord of the Rings: The Fellowship of the Ring,120,The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",2001-12-18,179,93000000,871368364,"['Adventure', 'Fantasy', 'Action']","['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']","['New Zealand', 'United States of America']",['English'],One ring to rule them all,8.396,22622
The Lord of the Rings: The Two Towers,121,The Lord of the Rings: The Two Towers,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",2002-12-18,179,79000000,926287400,"['Adventure', 'Fantasy', 'Action']","['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']","['New Zealand', 'United States of America']",['English'],A New Power Is Rising.,8.378,19667
The Empire Strikes Back,1891,The Empire Strikes Back,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",1980-05-20,124,18000000,538400000,"['Adventure', 'Action', 'Science Fiction']",['Lucasfilm Ltd.'],['United States of America'],['English'],The Adventure Continues...,8.392,15299
The Green Mile,497,The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",1999-12-10,189,60000000,286801374,"['Fantasy', 'Drama', 'Crime']","['Castle Rock Entertainment', 'Darkwoods Productions', 'Warner Bros. Pictures']",['United States of America'],"['Français', 'English']",Miracles do happen.,8.508,15351
Star Wars,11,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,1977-05-25,121,11000000,775398007,"['Adventure', 'Action', 'Science Fiction']","['Lucasfilm Ltd.', '20th Century Fox']",['United States of America'],['English'],"A long time ago in a galaxy far, far away...",8.208,18568
Sen to Chihiro no kamikakushi,129,Spirited Away,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",2001-07-20,125,19000000,274925095,"['Animation', 'Family', 'Fantasy']",['Studio Ghibli'],['Japan'],['日本語'],,8.54,14239
It's a Wonderful Life,1585,It's a Wonderful Life,"A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",1946-12-20,130,3180000,9644124,"['Drama', 'Family', 'Fantasy']",['Liberty Films'],['United States of America'],['English'],It's a wonderful laugh! It's a wonderful love!,8.3,3716
Spider-Man: Into the Spider-Verse,324857,Spider-Man: Into the Spider-Verse,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",2018-12-14,117,90000000,375464627,"['Action', 'Adventure', 'Animation', 'Science Fiction']","['Columbia Pictures', 'Lord Miller Productions', 'Pascal Pictures', 'Sony Pictures Animation', 'Avi Arad Productions']",['United States of America'],"['English', '日本語', 'Español']",More than one wears the mask.,8.407,12672
Coco,354912,Coco,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",2017-10-27,105,175000000,800526015,"['Family', 'Animation', 'Fantasy', 'Music', 'Comedy', 'Adventure']","['Pixar', 'Walt Disney Pictures']","['Mexico', 'United States of America']","['English', 'Español']",The celebration of a lifetime,8.225,17151
Kimi no na wa.,372058,Your Name.,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",2016-08-26,106,0,357986087,"['Romance', 'Animation', 'Drama']","['CoMix Wave Films', 'TOHO', 'KADOKAWA', 'East Japan Marketing & Communications', 'AMUSE', 'voque ting', 'Lawson Entertainment', '4Kids Entertainment']",['Japan'],['日本語'],"It was almost like seeing something out of a dream, nothing more or less than a breathtaking view.",8.521,9767
Mononoke-hime,128,Princess Mononoke,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",1997-07-12,134,26500000,159414369,"['Adventure', 'Fantasy', 'Animation']","['Studio Ghibli', 'Nibariki', 'dentsu Music And Entertainment', 'TNDG', 'Tokuma Shoten', 'Nippon Television Network Corporation', 'dentsu']",['Japan'],['日本語'],The Fate Of The World Rests On The Courage Of One Warrior.,8.34,6933
Toy Story,862,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",1995-10-30,81,30000000,373554033,"['Animation', 'Adventure', 'Family', 'Comedy']",['Pixar'],['United States of America'],['English'],,7.969,16648
Star Wars: Episode VI - Return of the Jedi,1892,Return of the Jedi,"Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, while the Emperor seeks to destroy the Rebellion once and for all with a second dreaded Death Star.",1983-05-25,135,32350000,572700000,"['Adventure', 'Action', 'Science Fiction']",['Lucasfilm Ltd.'],['United States of America'],['English'],The Empire Falls...,7.889,14161
Toy Story 3,10193,Toy Story 3,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",2010-06-16,103,200000000,1066969703,"['Animation', 'Family', 'Comedy']","['Pixar', 'Walt Disney Pictures']",['United States of America'],"['English', 'Español']",No toy gets left behind.,7.791,13411
Spider-Man: No Way Home,634649,Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",2021-12-15,148,200000000,1921847111,"['Action', 'Adventure', 'Science Fiction']","['Marvel Studios', 'Pascal Pictures', 'Columbia Pictures']",['United States of America'],"['English', '']",The Multiverse unleashed.,8.0,17285
Hauru no ugoku shiro,4935,Howl's Moving Castle,"When Sophie, a shy young woman, is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",2004-09-09,119,24000000,236049757,"['Fantasy', 'Animation', 'Adventure']","['Studio Ghibli', 'dentsu Music And Entertainment', 'Mitsubishi', 'Nippon Television Network Corporation', 'Tohokushinsha Film Corporation', 'Tokuma Shoten', 'd-rights', 'Walt Disney Pictures']","['Japan', 'United States of America']",['日本語'],The two lived there.,8.405,8244
Inside Out,150540,Inside Out,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Riley's guiding emotions— Joy, Fear, Anger, Disgust and Sadness—live in Headquarters, the control centre inside Riley's mind, where they help advise her through everyday life and tries to keep things positive, but the emotions conflict on how best to navigate a new city, house and school.",2015-06-09,95,175000000,857611174,"['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']","['Pixar', 'Walt Disney Pictures']",['United States of America'],['English'],Meet the little voices inside your head.,7.9,18976
